Date,Time,Season,HomeTeam,AwayTeam,HTHG,HTAG,FTR,Pregame_Prob_H,Pregame_Prob_D,Pregame_Prob_A
2018-02-04,,17-18,Estoril,Sp Lisbon,2.0,0.0,H,0.09925498,0.12960155,0.77114344
2018-02-04,,17-18,Feirense,Chaves,1.0,1.0,A,0.38831902,0.23890904,0.37277192
2018-02-04,,17-18,Guimaraes,Pacos Ferreira,2.0,1.0,H,0.5327727,0.26040927,0.206818
2018-02-04,,17-18,Tondela,Moreirense,1.0,1.0,A,0.42083803,0.27085295,0.30830902
2018-02-05,,17-18,Maritimo,Portimonense,0.0,3.0,A,0.3507242,0.33073908,0.3185367
2018-02-05,,17-18,Setubal,Belenenses,1.0,0.0,H,0.4978004,0.22075483,0.2814447
2018-02-06,,17-18,Aves,Boavista,2.0,0.0,H,0.42234144,0.23772205,0.33993647
2018-02-09,,17-18,Pacos Ferreira,Tondela,0.0,2.0,A,0.4555651,0.25910762,0.28532723
2018-02-10,,17-18,Portimonense,Benfica,0.0,1.0,A,0.11086582,0.15336,0.7357742
2018-02-10,,17-18,Rio Ave,Maritimo,2.0,0.0,H,0.48362428,0.27232227,0.24405344
2018-02-10,,17-18,Sp Braga,Setubal,1.0,0.0,H,0.7875844,0.11802688,0.094388686
2018-02-11,,17-18,Belenenses,Aves,1.0,4.0,A,0.43579203,0.27273527,0.29147273
2018-02-11,,17-18,Boavista,Guimaraes,0.0,0.0,H,0.42160127,0.30709857,0.27130014
2018-02-11,,17-18,Chaves,Porto,0.0,2.0,A,0.10168778,0.14194241,0.7563698
2018-02-11,,17-18,Sp Lisbon,Feirense,0.0,0.0,H,0.8317036,0.08741897,0.08087742
2018-02-12,,17-18,Moreirense,Estoril,1.0,0.0,A,0.45808515,0.26140222,0.28051266
2018-02-16,,17-18,Feirense,Portimonense,1.0,1.0,A,0.3864813,0.2808761,0.33264256
2018-02-17,,17-18,Aves,Maritimo,0.0,0.0,D,0.34606344,0.26098773,0.39294884
2018-02-17,,17-18,Benfica,Boavista,2.0,0.0,H,0.8425808,0.10216232,0.05525693
2018-02-17,,17-18,Estoril,Belenenses,0.0,1.0,A,0.4467528,0.25587085,0.2973764
2018-02-18,,17-18,Guimaraes,Sp Braga,0.0,3.0,A,0.2151828,0.24963728,0.53518
2018-02-18,,17-18,Moreirense,Chaves,0.0,0.0,A,0.4004724,0.26814345,0.33138418
2018-02-18,,17-18,Porto,Rio Ave,3.0,0.0,H,0.8419745,0.09626383,0.0617617
2018-02-18,,17-18,Setubal,Pacos Ferreira,0.0,0.0,H,0.4798067,0.24396424,0.27622905
2018-02-19,,17-18,Tondela,Sp Lisbon,1.0,1.0,A,0.09889584,0.14238356,0.7587206
2018-02-21,,17-18,Estoril,Porto,1.0,0.0,A,0.08648084,0.11655428,0.7969648
2018-02-23,,17-18,Rio Ave,Aves,0.0,0.0,D,0.47452858,0.2828661,0.24260528
